Date,Time,RSSI(dB),RxBt(V),GAlt(m),RPM(rpm),GPS(ait),GSpd(kts),Hdg(@),Tmp1(@C),Tmp2(@C),GAl2(m),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat_(%),FM,GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Ptch(rad),Roll(rad),Yaw(rad),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2020-04-17,19:29:27.460,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,33,33,100,76,2,25,26,99,73,11.4,0.0,0,50,0,64.944074 -25.068310,0.0,0.00,0,0,0.02,0.04,0.10,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.4
2020-04-17,19:29:27.940,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,33,33,100,63,2,25,27,100,76,11.4,0.0,0,50,0,64.944288 -25.065251,0.0,0.00,0,0,0.02,0.04,0.10,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.4
2020-04-17,19:29:28.440,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,31,31,100,76,2,25,27,100,73,11.4,0.0,0,50,0,64.969150 -24.946204,0.0,0.00,0,0,0.02,0.04,0.10,2,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x000000000000000D,7.4
2020-04-17,19:29:28.940,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,33,33,100,59,2,25,27,100,73,11.4,0.0,0,50,0,64.968063 -23.709266,0.0,0.00,0,0,0.02,0.04,0.10,2,8,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x000000000000000C,7.4
